run	read_spec	tokens	duration_ms
A-implement-1	no	125440	32292
A-implement-2	no	125551	36016
A-implement-3	no	125590	34094
B-implement-1	yes	125660	38406
B-implement-2	yes	125790	37278
B-implement-3	yes	125819	37176
A-review-1	no	126583	41080
A-review-2	no	126447	36945
A-review-3	no	126293	37518
B-review-2	yes	126608	46818
B-review-3	yes	126527	44330
B-review-1	yes	126812	55275
